Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
9556920001425,Oat Choco - Original ,,,34.21052632,60,Chocolates
9556920004044,Oat Choco - Strawberry ,,,1300,60,Chocolates
,Olive Oil 1L,,,2650,3600,Chocolates
,Olive Oil 500ML,,,1750,2500,Chocolates
,Olive Oil 250ML,,,1100,1500,Chocolates
8000500217078,Nutella B Ready,,,250,400,Chocolates
03436602,HERSHEY'S SYRUP CARAMEL 623G,,,1950,2800,Chocolates
03431801,HERSHEY'S SYRUP STRAWBERRY 623G,,,1950,2800,Chocolates
03431209,HERSHEY'S SYRUP CHOCOLATE 623G,,,1950,2800,Chocolates
840205726820,Pran Potato Cheese Biscuit,,,240,340,Chocolates
840205718573,Pran Potato Spicy Biscuit,,,240,320,Chocolates
840205724765,Pran Potato Cream & Onion Biscuit,,,240,320,Chocolates
5053990107292,Pringals - Hot & Spicy Small,,,480,600,Chocolates
5053990107339,Pringals - Original,,,480,600,Chocolates
5053990101535,Pringles - Cheese & Onion,,,1100,1380,Chocolates
,Pringles - Paprika,,,1100,1380,Chocolates
,Pringles - Hot & Spicy,,,1100,1380,Chocolates
5053990161966,Pringles - Barbeque,,,1100,1380,Chocolates
,Pringles - Cheesy Cheese,,,1100,1380,Chocolates
,Pringles - Sour Cream & Onion,,,1100,1380,Chocolates
6912345678902,Mico Strawberry ,,,410,600,Chocolates
6912345678902,Mico Matcha ,,,410,600,Chocolates
6912345678902,Mico Lemon ,,,410,600,Chocolates
6912345678902,Mico Smooth Vanilla ,,,410,600,Chocolates
,Lollipop ,,,60,120,Chocolates
20490782,Coccodrilli Gummies 300G,,,1100,1480,Chocolates
4056489802280,Strawberry Sweets Marshmellows 300G,,,1100,1480,Chocolates
20008222,Party Mix Minis Gummies,,,168.75,200,Chocolates
,Gelle Gummies,,,1700,2250,Chocolates
,Maom Chewing Candy,,,2000,4000,Chocolates
8000500408162,Mon Cherry,,,3900,4800,Chocolates
,Chupa Chups,,,900,1250,Chocolates
20161460,Choco Nussa Cup,,,350,450,Chocolates
,KELLOGS CORN FLAKES,,,2400,3500,Chocolates
,HARI HARI MEGA PRAWN CHIPS,,,350,480,Chocolates
,HARI HARI MEGA CHEEZEBALLS CHIPS,,,350,480,Chocolates
80177173,Nutella 350G,,,1950,2700,Chocolates
6281006874114,HELLMANN'S MAYONNAISE 915G,,,2200,2900,Chocolates
6294002405800,HERMAN MAYONNAISE 473ML,,,900,1300,Chocolates
,Big Bom,,,2400,4800,Chocolates
703818096646,Moments Pistachio Spread 200G,,,1800,2600,Chocolates
7622202262739,MILKA RAISINS & NUTS 90G,,,750,1100,Chocolates
7622210454362,MILKA CHIPS AHOY 100G,,,750,1100,Chocolates
7622210371706,MILKA BABBLY WHITE 95G,,,750,1100,Chocolates
7622210999719,MILKA LU 87G,,,750,1100,Chocolates
7622210544179,MILKA OREO WHITE 100G,,,750,1100,Chocolates
7622202262654,MILKA EXTRA COCOA 90G,,,750,1100,Chocolates
7622210371638,MILKA BUBBLY ALPINE MILK 90G,,,750,1100,Chocolates
8697439300287,TOREN WAFERS COCOA ,,,195,280,Chocolates
,TOREN WAFERS LEMON ,,,195,280,Chocolates
8697439300195,TOREN WAFERS HAZELNUT ,,,195,280,Chocolates
,TOREN WAFERS VANILLA ,,,195,280,Chocolates
8697439305244,TOREN WAFERS BUBBLEGUM ,,,195,280,Chocolates
8697439300324,TOREN WAFERS BANANA ,,,195,280,Chocolates
8697439300119,TOREN WAFERS STRAWBERRY ,,,195,280,Chocolates
8697439300409,TOREN WAFERS BLACK & WHITE EXTRA ,,,195,280,Chocolates
8697439303424,TOREN DELLA CARAMEL CHOCOLATE,,,195,280,Chocolates
8697439303455,TOREN DELLA COOKIE CHOCOLATE,,,195,280,Chocolates
8697439303394,TOREN DELLA CANDIES CHOCOLATE,,,195,280,Chocolates
8697439301048,TOREN ROCCO CHOCOLATE,,,95,130,Chocolates
8697439302922,TOREN ROCCO WHITE CHOCOLATE,,,95,130,Chocolates
8697439302427,TOREN MILKY WONDERFUL,,,95,130,Chocolates
8697439302502,TOREN PACIMO CARAMEL NOUGAT BAR,,,95,130,Chocolates
8697439303776,TOREN PACIMO STRAWBERRY NOUGAT BAR,,,95,130,Chocolates
8697439303714,TOREN PACIMO ORANGE NOUGAT BAR,,,95,130,Chocolates
8697439303745,TOREN PACIMO BANANA NOUGAT BAR,,,95,130,Chocolates
8697439302946,TOREN CRUNCHY STRAWBERRY,,,120,180,Chocolates
8697439300850,TOREN CRUNCHY ,,,120,180,Chocolates
8697439302250,TOREN CRUNCHY ,,,120,180,Chocolates
8697439303882,TOREN SOK0 NUT,,,130,180,Chocolates
8697439302854,TOREN CLASSIC PEANUT ,,,195,280,Chocolates
8697439302564,TOREN CLASSIC 100G - RED,,,395,580,Chocolates
8697439302601,TOREN CLASSIC 100G - PURPLE,,,395,580,Chocolates
,SOLEN VIP COCOA WAFER,,,220,350,Chocolates
7622300786687,Milka XL Cookies,,,1480,1950,Chocolates
,American Cookie 175g,,,1250,1800,Chocolates
8003340005096,Lindt Chocolate Spread Dark,,,2950,4900,Chocolates
8003340005089,Lindt Chocolate Spread Hazelnut,,,2950,4900,Chocolates
8003340853840,Lindt Chocolate Spread 30% Sugar Free,,,2950,4900,Chocolates
4820237692580,Granola Cerial - Choco Nuts,,,1450,1900,Chocolates
4820237692603,Granola Cerial - Choco Caramel,,,1450,1900,Chocolates
4820237692566,Granola Cerial - Wild Berries,,,1450,1900,Chocolates
7622210077691,Dairy Milk Bubbly 87G,,,,1000,Chocolates
,Dairy Milk Hazelnut 212G,,,,2000,Chocolates
,Dairy Milk Fruit and Nut 212G,,,,2000,Chocolates
8691216025103,Happy Cola Gummies 160G,,,,1750,Chocolates
8691216027312,Happy Cola Fizz Gummies 160G,,,,1800,Chocolates
8691216024564,Peaches Gummies 160G,,,,1550,Chocolates
8691216102552,Soda Party Fizz Gummies 70G,,,,1250,Chocolates
76145513,Toblerone Milk Chocolate 50G,,,,500,Chocolates
791689056395,Loacker Classic Wafers,,,,400,Chocolates
6221134014372,Bounty 50G,,,,450,Chocolates
7622201764555,Oreo 4 Biscuit Pack - Choco,,,,190,Chocolates
7622201765224,Oreo 4 Biscuit Pack - Milk,,,,190,Chocolates
8000068229827,Charms Gummies 80G,,,,850,Chocolates
7622210400284,Dairy Milk Black Forest 130G,,,,1150,Chocolates
7622210410511,Dairy Milk Fruit & Nut 130G,,,,1150,Chocolates
7622210410474,Dairy Milk - Milk 130G,,,,1150,Chocolates
7622210400291,Dairy Milk Roast Almond 130G,,,,1150,Chocolates
6084012090673,Craft Cheddar Cheese 250G,,,,2590,Chocolates
6281048107218,Puck Cheese Triangles,,,,1250,Chocolates
5099872018898,Baileys Strawberry & Cream,,,,1800,Chocolates
8005380010818,Baileys Irish Cream Cake,,,,500,Chocolates
8801073113428,Buldak 2X Spicy Ramen,,,600,620,Chocolates
8801073143463,Buldak Cheese Hot Chicken Ramen,,,600,620,Chocolates
8801073110502,Buldak Hot Chicken Ramen,,,500,620,Chocolates
8801073142978,Buldak 3X Spicy Ramen,,,600,620,Chocolates
8801073143203,Buldak Cream Carbonara Ramen,,,600,620,Chocolates
8801073143722,Buldak Rose Spicy Ramen,,,600,620,Chocolates
8018211903708,Molino Rossetto Pre Pancakes,,,,1500,Chocolates
