Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
85596379,Water Cup,,,750,1550,Others
85596380,Stitch Notebook ,,,300,650,Others
85596381,Unicorn Notebook,,,300,650,Others
85596382,Stitch Hot Water Bag,,,450,850,Others
85596383,Crystal Balls with Lights Stand,,,400,1200,Others
85596384,Cup Tumbler,,,1200,1950,Others
85596385,Tumbler,,,1350,2150,Others
85596386,Tumbler with Straw Cap,,,1350,2250,Others
85596387,Coffee Cup,,,1000,1650,Others
85596388,Secret Labubu,,,650,1100,Others
85596389,Hand Cream 30G,,,120,300,Others
85596390,Red Rose,,,135,200,Others
85596391,Eye Pop Stitch Keytag,,,295,400,Others
85596392,Pop Wish Card,,,285,350,Others
85596393,Mini Wish Card,,,10,25,Others
85596394,Labubu Keytag,,,295,350,Others
85596395,Victoria World Mini Perfume,,,550,850,Others
85596396,Kiss Beauty Face Mask ,,,120,180,Others
85596397,BioAqua Face Mask,,,100,150,Others
85596398,Mini Brano Perfume - Ladies,,,700,1100,Others
85596399,Mini Brano Perfume - Men,,,700,1100,Others
85596400,Heart Shaped Large Gift Box,,,383.3,750,Others
85596401,Heart Shaped Medium Gift Box,,,383.3,600,Others
85596402,Heart Shaped Small Gift Box,,,384,450,Others
85596403,Large Gift Box with Ribbon,,,900,1150,Others
85596404,Medium Gift Box with Ribbon,,,750,850,Others
85596405,Small Gift Box with Ribbon,,,600,700,Others
85596406,X Small Gift Box with Ribbon,,,300,500,Others
85596407,Large Gift Bags,,,175,250,Others
85596408,Wrapping Papper,,,80,130,Others
